campo_id,seccion,orden,label,tipo,obligatorio,lista_id,valor_normal,reglas,ayuda_kb
apa.diabetes,ant_patologicos,30,Diabetes mellitus,opcion,no,dm_dx,,,
apa.diabetes_detalle,ant_patologicos,40,"Año, tratamiento y último control",texto,no,,,,
apa.asma,ant_patologicos,50,Asma bronquial,opcion,no,asma_dx,,,
apa.otras_patologias,ant_patologicos,60,Otras patologías,multi,no,patologias,,,
apa.otras_detalle,ant_patologicos,70,Detalle en orden cronológico,texto_largo,no,,,,
apa.medicamentos,ant_patologicos,80,Uso de medicamentos,texto_largo,no,,,,
apa.adherencia,ant_patologicos,90,Adherencia al tratamiento,opcion,no,adherencia,,,
apa.cirugias,ant_patologicos,100,Cirugías,texto_largo,no,,,,
apa.traumatismos,ant_patologicos,110,Traumatismos,texto_largo,no,,,,
apa.duracion_enfermedad,ant_patologicos,120,Duración de la enfermedad,opcion,no,duracion_enf,,,
afa.familiares,ant_familiares,10,Antecedentes familiares,narrativa,no,f_familiares,,tercera_persona,kb.familiares
afa.parentescos,ant_familiares,20,Parientes con antecedente,multi,no,parentesco,,,
efg.estado_general,ef_general,10,Estado general,opcion,si,estado,Bueno,,
efg.estado_nutricional,ef_general,20,Estado nutricional,opcion,si,estado,Bueno,,
efg.estado_hidratacion,ef_general,30,Estado de hidratación,opcion,si,estado,Bueno,,
efg.conciencia,ef_general,40,Estado de conciencia,escala,si,conciencia,Lúcido,,
efg.pa_sistolica,ef_general,50,Presión arterial sistólica (mmHg),numero,si,,,,
efg.pa_diastolica,ef_general,60,Presión arterial diastólica (mmHg),numero,si,,,,
efg.fc,ef_general,70,Frecuencia cardíaca (latidos por minuto),numero,si,,,,
efg.fr,ef_general,80,Frecuencia respiratoria (respiraciones por minuto),numero,si,,,,
efg.temperatura,ef_general,90,Temperatura axilar (°C),numero,si,,,,
efg.sato2,ef_general,100,Saturación de oxígeno (%),numero,si,,,,
efg.fio2,ef_general,110,Fracción inspirada de oxígeno o soporte de oxígeno,texto,no,,,,
efg.peso,ef_general,120,Peso (kg),numero,no,,,,
efg.talla,ef_general,130,Talla (m),numero,no,,,,
efg.imc,ef_general,140,Índice de masa corporal,calculado,no,,,formula:peso/talla^2,
efg.glasgow_ao,ef_general,150,Glasgow · apertura ocular,escala,si,glasgow_ao,4,,
efg.glasgow_rv,ef_general,160,Glasgow · respuesta verbal,escala,si,glasgow_rv,5,,
efg.glasgow_rm,ef_general,170,Glasgow · respuesta motora,escala,si,glasgow_rm,6,,
efg.glasgow_total,ef_general,180,Glasgow total,calculado,no,,,formula:ao+rv+rm,
efg.eva,ef_general,190,Dolor (escala visual análoga),escala,no,eva,,,
efg.llenado_capilar,ef_general,200,Llenado capilar,opcion,no,llenado_capilar,Menor de 2 segundos,,
efr.cabeza,ef_regiones,10,Cabeza,narrativa,no,f_cabeza,n,describir_no_interpretar,kb.ef_cabeza
efr.ojos,ef_regiones,20,Ojos,narrativa,no,f_ojos,n,"describir_no_interpretar,escalas:cruces",
efr.nariz,ef_regiones,30,Nariz,narrativa,no,f_nariz,n,describir_no_interpretar,
efr.oidos,ef_regiones,40,Oídos,narrativa,no,f_oidos,n,describir_no_interpretar,
efr.boca,ef_regiones,50,Boca,narrativa,no,f_boca,n,"describir_no_interpretar,escalas:cruces|deshidratacion",
efr.cuello,ef_regiones,60,Cuello,narrativa,no,f_cuello,n,"describir_no_interpretar,escalas:pulsos|levine",kb.ef_cuello
efr.torax_inspeccion,ef_regiones,70,Tórax · inspección,narrativa,no,f_torax_i,n,"describir_no_interpretar,con_lateralidad",
efr.torax_palpacion,ef_regiones,80,Tórax · palpación,narrativa,no,f_torax_p,n,"describir_no_interpretar,con_lateralidad",
efr.torax_percusion,ef_regiones,90,Tórax · percusión,narrativa,no,f_torax_pe,n,"describir_no_interpretar,con_lateralidad",
efr.torax_mv,ef_regiones,100,Murmullo vesicular,escala,no,mv,Conservado,,
efr.torax_agregados,ef_regiones,110,Ruidos agregados,multi,no,agregados,Ninguno,,
efr.torax_auscultacion,ef_regiones,120,Tórax · auscultación,narrativa,no,f_torax_a,n,"describir_no_interpretar,con_lateralidad,escalas:mv|agregados",kb.ef_torax
efr.cardiovascular,ef_regiones,130,Cardiovascular,narrativa,no,f_cv,n,"describir_no_interpretar,escalas:levine|pulsos",kb.ef_cardio
efr.soplo_levine,ef_regiones,140,Intensidad del soplo,escala,no,levine,,,
efr.abdomen_inspeccion,ef_regiones,150,Abdomen · inspección,narrativa,no,f_abd_i,n,describir_no_interpretar,
efr.abdomen_auscultacion,ef_regiones,160,Abdomen · auscultación,narrativa,no,f_abd_a,n,describir_no_interpretar,
efr.abdomen_percusion,ef_regiones,170,Abdomen · percusión,narrativa,no,f_abd_pe,n,describir_no_interpretar,
efr.abdomen_palpacion,ef_regiones,180,Abdomen · palpación,narrativa,no,f_abd_p,n,"describir_no_interpretar,escalas:eva",kb.ef_abdomen
efr.genitourinario,ef_regiones,190,Genitourinario,narrativa,no,f_gu,n,"describir_no_interpretar,escalas:eva",
efr.columna,ef_regiones,200,Columna vertebral,narrativa,no,f_columna,n,"describir_no_interpretar,escalas:eva|fuerza",
efr.msd,ef_regiones,210,Miembro superior derecho,narrativa,no,f_ext,n,"describir_no_interpretar,escalas:godet|pulsos|fuerza|rot",
efr.msi,ef_regiones,220,Miembro superior izquierdo,narrativa,no,f_ext,n,"describir_no_interpretar,escalas:godet|pulsos|fuerza|rot",
efr.mid,ef_regiones,230,Miembro inferior derecho,narrativa,no,f_ext,n,"describir_no_interpretar,escalas:godet|pulsos|fuerza|rot",
efr.mii,ef_regiones,240,Miembro inferior izquierdo,narrativa,no,f_ext,n,"describir_no_interpretar,escalas:godet|pulsos|fuerza|rot",
efr.edema_godet,ef_regiones,250,Edema con fóvea,escala,no,godet,,,
efr.pulsos,ef_regiones,260,Amplitud de pulsos,escala,no,pulsos,2+,,
efr.fuerza,ef_regiones,270,Fuerza muscular,escala,no,fuerza,5/5,,
efr.rot,ef_regiones,280,Reflejos osteotendinosos,escala,no,rot,2+,,
efr.neurologico,ef_regiones,290,Neurológico,narrativa,no,f_neuro,n,"describir_no_interpretar,escalas:conciencia|fuerza|rot",kb.ef_neuro
dx.resumen,diagnostico,10,Resumen semiológico,narrativa,si,,,"tercera_persona,solo_datos_positivos,escalas:eva|nyha|mmrc|godet|levine|conciencia|ecog",kb.resumen
dx.presuntivo,diagnostico,20,Diagnóstico presuntivo,lista,si,,,sin_codigos,
dx.sindromico,diagnostico,30,Diagnóstico sindrómico,lista,no,,,con_sustento,
dx.diferencial,diagnostico,40,Diagnóstico diferencial,lista,no,,,con_sustento,
tx.tratamiento,tratamiento,10,Tratamiento,narrativa,no,f_tratamiento,,farmaco_dosis_via_intervalo,
plan.plan,plan_trabajo,10,Plan de trabajo,narrativa,no,f_plan,,examen_con_pregunta,
exc.examenes,examenes,10,Exámenes complementarios,narrativa,no,f_examenes,,valor_unidad_rango,
evo.evolucion,evolucion,10,Evolución,narrativa,no,f_evolucion,,"soap,escalas:eva|nyha|mmrc|godet|bristol|conciencia|deshidratacion",
