campo_id,seccion,orden,label,tipo,obligatorio,lista_id,valor_normal,reglas,ayuda_kb,plantilla,subtitulo
fb.peso_kg,funciones_biologicas,140,Kilogramos y tiempo,texto,,,,,kb.funciones,ochoa,
fb.estado_animo,funciones_biologicas,150,Estado de ánimo,opcion,,estado_animo,Tranquilo,,kb.funciones,ochoa,
apn.vivienda_material,ant_personales,10,Material de construcción,multi,,viv_pared,,,kb.personales,ochoa,Generales · Vivienda
apn.vivienda_piso,ant_personales,20,Piso,opcion,,viv_piso,,,,ochoa,Generales · Vivienda
apn.vivienda_techo,ant_personales,30,Techo,opcion,,viv_techo,,,,ochoa,Generales · Vivienda
apn.vivienda_habitaciones,ant_personales,40,Número de habitaciones,numero,,,,,,ochoa,Generales · Vivienda
apn.vivienda_personas,ant_personales,50,Número de personas,numero,,,,,,ochoa,Generales · Vivienda
apn.hacinamiento_indice,ant_personales,60,Índice de hacinamiento (personas por habitación),calculado,,,,formula:personas/habitaciones,,ochoa,Generales · Vivienda
apn.vivienda_agua,ant_personales,70,Agua,opcion,,viv_agua,,,,ochoa,Generales · Vivienda
apn.vivienda_luz,ant_personales,80,Luz,opcion,,viv_luz,,,,ochoa,Generales · Vivienda
apn.vivienda_desague,ant_personales,90,Desagüe,opcion,,viv_desague,,,,ochoa,Generales · Vivienda
apn.crianza_animales,ant_personales,100,Crianza de animales,multi,,animales,,,,ochoa,Generales
apn.vestimenta,ant_personales,110,Vestido,opcion,,vestimenta,,,,ochoa,Generales
apn.higiene,ant_personales,120,Higiene,opcion,,higiene,,,,ochoa,Generales
apn.comidas_dia,ant_personales,130,Número de comidas al día,numero,,,,,,ochoa,Alimentación
apn.alimentacion_menu,ant_personales,140,Comida habitual,texto_largo,,,,,kb.personales,ochoa,Alimentación
apn.consumo_frutas,ant_personales,150,Frutas,opcion,,frecuencia_consumo,,,,ochoa,Alimentación
apn.consumo_vegetales,ant_personales,160,Vegetales,opcion,,frecuencia_consumo,,,,ochoa,Alimentación
apn.consumo_carnes,ant_personales,170,Carnes,opcion,,frecuencia_consumo,,,,ochoa,Alimentación
apn.consumo_pescado,ant_personales,180,Pescado,opcion,,frecuencia_consumo,,,,ochoa,Alimentación
apn.alcohol,ant_personales,190,Alcohol,opcion,,alcohol_estado,,,kb.personales,ochoa,Hábitos nocivos · Alcohol
apn.alcohol_frecuencia,ant_personales,200,Frecuencia,opcion,,frecuencia_consumo,,,,ochoa,Hábitos nocivos · Alcohol
apn.alcohol_cantidad,ant_personales,210,Cantidad (vasos por ocasión),numero,,,,,,ochoa,Hábitos nocivos · Alcohol
apn.tabaco,ant_personales,220,Tabaco,opcion,,tabaco,,,kb.personales,ochoa,Hábitos nocivos · Tabaco
apn.tabaco_frecuencia,ant_personales,230,Frecuencia,opcion,,frecuencia_consumo,,,,ochoa,Hábitos nocivos · Tabaco
apn.tabaco_cantidad,ant_personales,240,Cantidad (cigarrillos al día),numero,,,,,,ochoa,Hábitos nocivos · Tabaco
apn.cafe_mate_te,ant_personales,250,Café,multi,,bebidas,,,,ochoa,Hábitos nocivos · Café
apn.cafe_frecuencia,ant_personales,260,Frecuencia,opcion,,frecuencia_consumo,,,,ochoa,Hábitos nocivos · Café
apn.cafe_cantidad,ant_personales,270,Cantidad (tazas al día),numero,,,,,,ochoa,Hábitos nocivos · Café
apn.drogas,ant_personales,280,Drogas,multi,,drogas,,,kb.personales,ochoa,Hábitos nocivos · Drogas
apn.drogas_frecuencia,ant_personales,290,Frecuencia,opcion,,frecuencia_consumo,,,,ochoa,Hábitos nocivos · Drogas
apn.drogas_cantidad,ant_personales,300,Cantidad,texto,,,,,,ochoa,Hábitos nocivos · Drogas
afi.inmunizaciones,ant_personales,310,Inmunizaciones,multi,,inmunizaciones,,,kb.patologicos,ochoa,
afi.transfusiones,ant_personales,320,Transfusiones,opcion_otro,,si_no_nr,,,kb.patologicos,ochoa,Transfusiones
apn.transfusion_fecha,ant_personales,330,Fecha,fecha,,,,,,ochoa,Transfusiones
apn.transfusion_razon,ant_personales,340,Razón,texto,,,,,,ochoa,Transfusiones
apn.grupo_sanguineo,ant_personales,350,Grupo sanguíneo,opcion,,grupo_sanguineo,,,,ochoa,Transfusiones
afi.prenatales_patologias,ant_fisiologicos,10,Patologías en la gestación,texto,,,,,kb.fisiologicos,ochoa,Antecedentes prenatales
afi.prenatales_control,ant_fisiologicos,20,Control prenatal,opcion,,control_prenatal,,,kb.fisiologicos,ochoa,Antecedentes prenatales
afi.parto,ant_fisiologicos,30,Tipo de parto,opcion,,parto_tipo,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.peso_nacer,ant_fisiologicos,40,Peso al nacer (gramos),numero,,,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.talla_nacer,ant_fisiologicos,50,Talla al nacer (centímetros),numero,,,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.lactancia,ant_fisiologicos,60,Lactancia,opcion,,lactancia,,,,ochoa,Antecedentes posnatales
afi.ablactancia,ant_fisiologicos,70,Ablactancia,opcion,,ablactancia,,,,ochoa,Antecedentes posnatales
afi.primeros_pasos,ant_fisiologicos,80,Primeros pasos,opcion,,hito,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.primeras_palabras,ant_fisiologicos,90,Primeras palabras,opcion,,hito,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.rendimiento_escolar,ant_fisiologicos,100,Rendimiento escolar,opcion,,rendimiento_escolar,,,kb.fisiologicos,ochoa,Antecedentes posnatales
afi.vida_sexual_inicio,ant_fisiologicos,110,Inicio de vida sexual (años),numero,,,,,,ochoa,Antecedentes posnatales
afi.preferencia_sexual,ant_fisiologicos,120,Preferencia sexual,opcion,,preferencia_sexual,,,,ochoa,Antecedentes posnatales
afi.parejas_sexuales,ant_fisiologicos,130,Número de parejas sexuales,numero,,,,,,ochoa,Antecedentes posnatales
afi.ultima_relacion_sexual,ant_fisiologicos,140,Última relación sexual,opcion,,ultima_relacion,,,,ochoa,Antecedentes posnatales
afi.anticonceptivos,ant_fisiologicos,150,Uso de anticonceptivo,opcion,,anticonceptivo,,,,ochoa,Antecedentes posnatales
afi.menarquia,ant_fisiologicos,160,Menarquia (años),numero,,,,,kb.fisiologicos,ochoa,Antecedentes gineco-obstétricos
afi.fur,ant_fisiologicos,170,Fecha de última regla,fecha,,,,,kb.fisiologicos,ochoa,Antecedentes gineco-obstétricos
afi.menopausia,ant_fisiologicos,180,Menopausia,opcion,,si_no_nr,,,,ochoa,Antecedentes gineco-obstétricos
afi.regimen_catamenial,ant_fisiologicos,190,Régimen catamenial (días de menstruación y duración del ciclo),texto,,,,,kb.fisiologicos,ochoa,Antecedentes gineco-obstétricos
afi.dismenorrea,ant_fisiologicos,200,Dismenorrea,opcion,,si_no_nr,,,kb.fisiologicos,ochoa,Antecedentes gineco-obstétricos
afi.dispareunia,ant_fisiologicos,210,Dispareunia,opcion,,si_no_nr,,,,ochoa,Antecedentes gineco-obstétricos
afi.leucorrea,ant_fisiologicos,220,Leucorrea,opcion_otro,,si_no_nr,,,,ochoa,Antecedentes gineco-obstétricos
afi.gestaciones,ant_fisiologicos,230,Número de gestaciones,numero,,,,,kb.fisiologicos,ochoa,Fórmula obstétrica
afi.partos_termino,ant_fisiologicos,240,Nacidos a término,numero,,,,,kb.fisiologicos,ochoa,Fórmula obstétrica
afi.partos_prematuros,ant_fisiologicos,250,Nacidos prematuros,numero,,,,,kb.fisiologicos,ochoa,Fórmula obstétrica
afi.abortos,ant_fisiologicos,260,Abortos,numero,,,,,kb.fisiologicos,ochoa,Fórmula obstétrica
afi.hijos_vivos,ant_fisiologicos,270,Hijos vivos,numero,,,,,kb.fisiologicos,ochoa,Fórmula obstétrica
afi.formula_obstetrica,ant_fisiologicos,280,Fórmula obstétrica,calculado,,,,formula:G{gestaciones} P{partos_termino}{partos_prematuros}{abortos}{hijos_vivos},kb.fisiologicos,ochoa,Fórmula obstétrica
afi.fup,ant_fisiologicos,290,Fecha de último parto,fecha,,,,,kb.fisiologicos,ochoa,Antecedentes gineco-obstétricos
afi.preeclampsia_eclampsia,ant_fisiologicos,300,Preeclampsia o eclampsia,opcion,,toxemia_gravidica,,,kb.ef_edema,ochoa,Antecedentes gineco-obstétricos
afi.lactancia_hijos,ant_fisiologicos,310,Lactancia a los hijos,opcion,,lactancia,,,,ochoa,Antecedentes gineco-obstétricos
afi.examen_ginecologico,ant_fisiologicos,320,Último examen ginecológico,opcion,,papanicolau,,,,ochoa,Antecedentes gineco-obstétricos
afi.papanicolau,ant_fisiologicos,330,Último Papanicolaou,opcion,,papanicolau,,,,ochoa,Antecedentes gineco-obstétricos
apa.congenitas,ant_patologicos,10,Enfermedades congénitas,multi,,enf_congenitas,Ninguna,,kb.patologicos,ochoa,Patológicos
apa.congenitas_detalle,ant_patologicos,20,"Enfermedades congénitas: cuándo, dónde, resultados y tratamiento",texto,,,,"terminos_medicos,orden_cronologico",kb.patologicos,ochoa,Patológicos
apa.infancia,ant_patologicos,30,Enfermedades de la infancia y adolescencia,multi,,enf_infancia,Ninguna,,kb.patologicos,ochoa,Patológicos
apa.infancia_detalle,ant_patologicos,40,"Enfermedades de la infancia y adolescencia: cuándo, dónde, resultados y tratamiento",texto,,,,"terminos_medicos,orden_cronologico",kb.patologicos,ochoa,Patológicos
apa.otras_patologias,ant_patologicos,50,Enfermedades de la juventud y adultez,multi,,patologias,Ninguna,,kb.patologicos,ochoa,Patológicos
apa.otras_detalle,ant_patologicos,60,"Enfermedades de la juventud y adultez: cuándo, dónde, resultados y tratamiento",texto_largo,,,,"terminos_medicos,orden_cronologico",kb.patologicos,ochoa,Patológicos
apa.cirugias,ant_patologicos,70,Intervenciones quirúrgicas,texto_largo,,,,"terminos_medicos,orden_cronologico",kb.patologicos,ochoa,Patológicos
apa.parasitos,ant_patologicos,80,Eliminación de parásitos,multi,,parasitos,Niega,,kb.patologicos,ochoa,Patológicos
apa.parasitos_detalle,ant_patologicos,90,Eliminación de parásitos: cuándo y tratamiento recibido,texto,,,,orden_cronologico,kb.patologicos,ochoa,Patológicos
apa.traumatismos,ant_patologicos,100,Accidentes y secuelas,texto_largo,,,,"terminos_medicos,orden_cronologico",kb.patologicos,ochoa,Patológicos
afi.alergias,ant_patologicos,110,Alergia medicamentosa,opcion_otro,si,si_no_nr,No refiere,,kb.patologicos,ochoa,Patológicos
apa.alergia_farmaco,ant_patologicos,120,Medicamento que produjo la alergia,texto,,,,terminos_medicos,kb.patologicos,ochoa,Patológicos
apa.alergia_reaccion,ant_patologicos,130,Tipo de reacción alérgica,multi,,reaccion_alergica,,,kb.patologicos,ochoa,Patológicos
apa.intoxicaciones,ant_patologicos,140,Intoxicaciones,multi,,intoxicaciones,Ninguna,,kb.patologicos,ochoa,Patológicos
apa.intoxicaciones_detalle,ant_patologicos,150,"Intoxicaciones: cuándo, dónde, resultados y tratamiento",texto,,,,orden_cronologico,kb.patologicos,ochoa,Patológicos
apa.historial_enfermedad,ant_patologicos,160,Historial de enfermedad,multi,si,historial_enf,Ninguna,,kb.patologicos,ochoa,Historial de enfermedad
apa.hta,ant_patologicos,170,Hipertensión arterial,opcion,,hta_dx,Niega,,kb.patologicos,ochoa,Historial de enfermedad
apa.hta_detalle,ant_patologicos,180,"Hipertensión arterial: año, cifras y tratamiento",texto,,,,terminos_medicos,kb.patologicos,ochoa,Historial de enfermedad
apa.diabetes,ant_patologicos,190,Diabetes mellitus,opcion,,dm_dx,Niega,,kb.patologicos,ochoa,Historial de enfermedad
apa.diabetes_detalle,ant_patologicos,200,"Diabetes mellitus: año, tratamiento y último control",texto,,,,terminos_medicos,kb.patologicos,ochoa,Historial de enfermedad
apa.asma,ant_patologicos,210,Asma bronquial,opcion,,asma_dx,Niega,,kb.patologicos,ochoa,Historial de enfermedad
apa.historial_otros,ant_patologicos,220,Otras enfermedades del historial,texto,,,,terminos_medicos,kb.patologicos,ochoa,Historial de enfermedad
apa.historial_inicio,ant_patologicos,230,Tiempo de inicio,texto,,,,orden_cronologico,kb.patologicos,ochoa,Historial de enfermedad
apa.duracion_enfermedad,ant_patologicos,240,Clasificación del tiempo de enfermedad,opcion,,duracion_enf,,,kb.patologicos,ochoa,Historial de enfermedad
apa.medicamentos,ant_patologicos,250,Tratamiento,texto_largo,,,,farmaco_dosis_via_intervalo,kb.patologicos,ochoa,Historial de enfermedad
apa.adherencia,ant_patologicos,260,Cumplimiento del tratamiento,opcion,,adherencia,,,kb.patologicos,ochoa,Historial de enfermedad
apa.historial_complicaciones,ant_patologicos,270,Complicaciones,texto_largo,,,,terminos_medicos,kb.patologicos,ochoa,Historial de enfermedad
afa.padre_enfermedades,ant_familiares,10,Enfermedades del padre,multi,,enf_familiares,Ninguna,,kb.familiares,ochoa,Padre
afa.padre_vivo,ant_familiares,20,Estado vital del padre,opcion,,estado_vital,Vive,,kb.familiares,ochoa,Padre
afa.madre_enfermedades,ant_familiares,30,Enfermedades de la madre,multi,,enf_familiares,Ninguna,,kb.familiares,ochoa,Madre
afa.madre_viva,ant_familiares,40,Estado vital de la madre,opcion,,estado_vital,Vive,,kb.familiares,ochoa,Madre
afa.hermanos_enfermedades,ant_familiares,50,Enfermedades de los hermanos consanguíneos,multi,,enf_familiares,Ninguna,,kb.familiares,ochoa,Hermanos consanguíneos
afa.hermanos_numero,ant_familiares,60,Número de hermanos consanguíneos,numero,,,,,,ochoa,Hermanos consanguíneos
afa.hermanos_vivos,ant_familiares,70,Número de hermanos vivos,numero,,,,,,ochoa,Hermanos consanguíneos
afa.descendientes_enfermedades,ant_familiares,80,Enfermedades de los descendientes,multi,,enf_familiares,Ninguna,,kb.familiares,ochoa,Descendientes
afa.descendientes_numero,ant_familiares,90,Número de descendientes,numero,,,,,,ochoa,Descendientes
afa.descendientes_vivos,ant_familiares,100,Número de descendientes vivos,numero,,,,,,ochoa,Descendientes
afa.pareja_enfermedades,ant_familiares,110,Enfermedades de la pareja,multi,,enf_familiares,Ninguna,,kb.familiares,ochoa,Pareja
afa.familiares,ant_familiares,120,Resumen de los antecedentes familiares,narrativa,,f_familiares,,tercera_persona,kb.familiares,ochoa,
efg.temperatura,ef_general,10,Temperatura axilar (grados centígrados),numero,si,,36.5,valor_unidad_rango,kb.ef_vitales,ochoa,Funciones vitales
efg.fr,ef_general,20,Frecuencia respiratoria (respiraciones por minuto),numero,si,,18,valor_unidad_rango,kb.ef_vitales,ochoa,Funciones vitales
efg.fc,ef_general,30,Frecuencia cardíaca (latidos por minuto),numero,si,,70,valor_unidad_rango,kb.ef_vitales,ochoa,Funciones vitales
efg.pulso,ef_general,40,Pulso,multi,,pulso_car,"Rítmico, de amplitud mediana y pared elástica",,kb.ef_vitales,ochoa,Funciones vitales
efg.pa_sistolica,ef_general,50,Presión arterial sistólica (milímetros de mercurio),numero,si,,120,valor_unidad_rango,kb.ef_vitales,ochoa,Funciones vitales
efg.pa_diastolica,ef_general,60,Presión arterial diastólica (milímetros de mercurio),numero,si,,80,valor_unidad_rango,kb.ef_vitales,ochoa,Funciones vitales
efg.peso,ef_general,70,Peso (kilogramos),numero,,,,valor_unidad_rango,kb.ef_somatometria,ochoa,Somatometría
efg.talla,ef_general,80,Talla (metros),numero,,,,valor_unidad_rango,kb.ef_somatometria,ochoa,Somatometría
efg.imc,ef_general,90,Índice de masa corporal (kilogramos por metro cuadrado),calculado,,,,formula:peso/talla^2,kb.ef_somatometria,ochoa,Somatometría
efg.estado_nutricional,ef_general,100,Estado nutricional,opcion,si,estado,Bueno,,kb.ef_somatometria,ochoa,Aspecto General
efg.estado_hidratacion,ef_general,110,Estado de hidratación,opcion,si,estado,Bueno,escalas:deshidratacion,kb.ectoscopia,ochoa,Aspecto General
efg.facies,ef_general,120,Facies,opcion,,facies,Atípica o normal,,kb.ectoscopia,ochoa,Aspecto General
efg.grado_enfermedad,ef_general,130,Grado de enfermedad,opcion,,grado_enfermedad,No aparenta enfermedad,,kb.ectoscopia,ochoa,Aspecto General
efg.signo_destacado,ef_general,140,Signo destacado,opcion_otro,,signo_destacado,Ninguno destacable,,kb.ectoscopia,ochoa,Aspecto General
efg.tipo_constitucional,ef_general,150,Tipo constitucional,opcion,,biotipo,Normolíneo,,kb.ectoscopia,ochoa,Aspecto General
efg.piel_color,ef_general,160,Color de la piel,multi,,piel_color,Rosada,escalas:cruces,kb.ectoscopia,ochoa,Piel
efg.piel_temperatura,ef_general,170,Temperatura de la piel,opcion,,piel_temp,Tibia y simétrica,,kb.ectoscopia,ochoa,Piel
efg.piel_elasticidad,ef_general,180,Elasticidad de la piel,opcion,,piel_elasticidad,Conservada,,kb.ectoscopia,ochoa,Piel
efg.piel_anormalidades,ef_general,190,Anormalidades de la piel,multi,,piel_lesiones,Sin lesiones,con_lateralidad,kb.ectoscopia,ochoa,Piel
efg.unas_color,ef_general,200,Color de las uñas,opcion,,unas_color,Rosadas,,kb.ectoscopia,ochoa,Uñas
efg.unas_forma,ef_general,210,Forma de las uñas,opcion,,unas_forma,"Normal, con ángulo de implantación menor de 160 grados",,kb.ectoscopia,ochoa,Uñas
efg.unas_estrias,ef_general,220,Estrías de las uñas,opcion,,unas_estrias,Ausentes,,kb.ectoscopia,ochoa,Uñas
efg.llenado_capilar,ef_general,230,Llenado capilar,opcion,,llenado_capilar,Menor de 2 segundos,,kb.ectoscopia,ochoa,Uñas
efg.pelo_color,ef_general,240,Color del cabello y del vello,opcion,,pelo_color,Negro,,kb.ectoscopia,ochoa,Sistema piloso
efg.pelo_sequedad,ef_general,250,Sequedad del cabello,opcion,,pelo_sequedad,"Normal, con brillo conservado",,kb.ectoscopia,ochoa,Sistema piloso
efg.pelo_fragilidad,ef_general,260,Fragilidad del cabello,opcion,,pelo_fragilidad,"Ausente, resiste la tracción",,kb.ectoscopia,ochoa,Sistema piloso
efg.pelo_distribucion,ef_general,270,Distribución del sistema piloso,multi,,pelo_distribucion,Acorde al sexo y a la edad,,kb.ectoscopia,ochoa,Sistema piloso
efg.tcs_cantidad,ef_general,280,Cantidad de tejido celular subcutáneo,opcion,,tcs_cantidad,Normal,,kb.ectoscopia,ochoa,Tejido celular subcutáneo
efg.tcs_distribucion,ef_general,290,Distribución del tejido celular subcutáneo,opcion,,tcs_distribucion,Normal para el sexo y la edad,,kb.ectoscopia,ochoa,Tejido celular subcutáneo
efg.tcs_tumoraciones,ef_general,300,Tumoraciones del tejido celular subcutáneo,multi,,tcs_tumoracion,Ninguna,con_lateralidad,kb.ectoscopia,ochoa,Tejido celular subcutáneo
efg.tcs_nodulo,ef_general,310,Nódulo,opcion,,tcs_nodulo,Ausente,con_lateralidad,kb.ectoscopia,ochoa,Tejido celular subcutáneo
efg.tcs_edema,ef_general,320,Edema,opcion,,tcs_edema,Ausente,"con_lateralidad,escalas:godet",kb.ef_edema,ochoa,Tejido celular subcutáneo
efg.tcs_enfisema,ef_general,330,Enfisema subcutáneo,opcion,,tcs_enfisema,Ausente,con_lateralidad,kb.ectoscopia,ochoa,Tejido celular subcutáneo
efr.cabeza_forma,ef_regiones,10,Forma del cráneo,opcion,,craneo_forma,Normocéfalo,describir_no_interpretar,kb.ef_cabeza,ochoa,Cabeza y cráneo
efr.cabeza_tamano,ef_regiones,20,Tamaño del cráneo,opcion,,craneo_tamano,Normal,describir_no_interpretar,kb.ef_cabeza,ochoa,Cabeza y cráneo
efr.cabeza_simetria,ef_regiones,30,Simetría de la cara,opcion,,simetria_facial,Simétrica,"describir_no_interpretar,con_lateralidad",kb.ef_cabeza,ochoa,Cabeza y cráneo
efr.cabeza_frente,ef_regiones,40,Frente (líneas de expresión),opcion,,frente_lineas,Líneas de expresión conservadas,describir_no_interpretar,kb.ef_cabeza,ochoa,Cabeza y cráneo
efr.parpados,ef_regiones,50,Párpados,multi,,parpados,Sin alteraciones,"describir_no_interpretar,con_lateralidad",kb.ef_cabeza,ochoa,Párpados
efr.ojos_globos,ef_regiones,60,Globos oculares y movimientos oculares,multi,,globos_oculares,Sin alteraciones,"describir_no_interpretar,con_lateralidad",kb.ef_cabeza,ochoa,Ojos
efr.glandula_lagrimal,ef_regiones,70,Glándulas lagrimales,opcion,,glandula_lagrimal,Sin alteraciones,con_lateralidad,kb.ef_cabeza,ochoa,Ojos
efr.conjuntiva,ef_regiones,80,Conjuntiva,multi,,conjuntiva,Rosada,"describir_no_interpretar,escalas:cruces",kb.ef_cabeza,ochoa,Ojos
efr.esclerotica,ef_regiones,90,Esclerótica,opcion,,esclerotica,Anictérica,escalas:cruces,kb.ef_cabeza,ochoa,Ojos
efr.cornea,ef_regiones,100,Córnea,multi,,cornea,Transparente,"describir_no_interpretar,con_lateralidad",kb.ef_cabeza,ochoa,Ojos
efr.pupilas_simetria,ef_regiones,110,Simetría pupilar,opcion,,pupilas_simetria,Isocóricas,,kb.ef_cabeza,ochoa,Pupilas
efr.pupilas_tamano,ef_regiones,120,Tamaño pupilar,opcion,,pupilas_tamano,"Normal, de 2 a 4 milímetros",con_lateralidad,kb.ef_cabeza,ochoa,Pupilas
efr.pupilas_forma,ef_regiones,130,Forma pupilar,opcion,,pupilas_forma,Redondeadas y centrales,,kb.ef_cabeza,ochoa,Pupilas
efr.reflejo_fotomotor,ef_regiones,140,Reflejo fotomotor,opcion,,reflejo_pupilar,Presente,con_lateralidad,kb.ef_cabeza,ochoa,Pupilas
efr.reflejo_consensual,ef_regiones,150,Reflejo consensual,opcion,,reflejo_pupilar,Presente,con_lateralidad,kb.ef_cabeza,ochoa,Pupilas
efr.reflejo_acomodacion,ef_regiones,160,Reflejo de acomodación,opcion,,reflejo_pupilar,Presente,,kb.ef_cabeza,ochoa,Pupilas
efr.cristalino,ef_regiones,170,Cristalino,opcion,,cristalino,Transparente,con_lateralidad,kb.ef_cabeza,ochoa,Ojos
efr.nariz_forma,ef_regiones,180,Forma de la nariz,opcion,,nariz_forma,"Normal, sin deformaciones",describir_no_interpretar,kb.ef_cabeza,ochoa,Nariz
efr.nariz_aleteo,ef_regiones,190,Aleteo nasal,opcion,,presente_ausente,Ausente,,kb.ef_cabeza,ochoa,Nariz
