lista_id,valor,definicion,fuente
patologias,Hipertiroidismo,"Exceso de hormona tiroidea con metabolismo acelerado: intolerancia al calor, sudoración, pérdida de peso y taquicardia.",13a
patologias,Accidente cerebrovascular,Daño cerebral isquémico o hemorrágico; es una de las complicaciones de la hipertensión arterial.,08g
patologias,Insuficiencia cardíaca,Incapacidad del corazón para mantener un gasto adecuado a las necesidades de los tejidos.,08g
patologias,EPOC,Enfermedad pulmonar obstructiva crónica; la desencadena el tabaquismo y a la larga produce hipertensión pulmonar.,08a2
patologias,VIH,Infección por el virus de la inmunodeficiencia humana; puede adquirirse también por transfusiones.,02b
patologias,Enfermedad renal crónica,Pérdida progresiva e irreversible de la función renal; sus primeras causas son la diabetes y la hipertensión arterial.,10c; 10a
adherencia,Irregular,"Toma el tratamiento con olvidos, pausas o fuera de horario.",fuera de notas
adherencia,Abandonó el tratamiento,"Dejó el tratamiento; indagar el costo, porque los fármacos caros en enfermedades crónicas llevan al abandono.",02b
f_familiares,a1,"Carga hereditaria paterna: si el padre tuvo hipertensión arterial, aumenta la probabilidad de que el paciente la desarrolle.",02b
f_familiares,a2,Carga hereditaria materna; las enfermedades de la madre durante el embarazo se relacionan con cardiopatías congénitas del hijo.,02b; 08a2
f_familiares,a3,"Enfermedad en un hermano: sugiere carga hereditaria o exposición compartida, como la convivencia con un enfermo de tuberculosis.",02b
f_familiares,a4,"Enfermedad en una hermana: sugiere carga hereditaria o exposición compartida, como la convivencia con un enfermo de tuberculosis.",02b
f_familiares,a5,Antecedente en la segunda generación; precisar si el abuelo es paterno o materno.,02b
f_familiares,a6,Interrogatorio familiar negativo para enfermedades hereditarias y para convivencia con enfermos.,02b
forma_inicio,Brusco,"Instalación rápida, en minutos u horas, sin ser instantánea; así se instala, por ejemplo, el síndrome isquémico agudo por embolia.",08i
forma_inicio,Súbito,"Instantáneo: el paciente precisa el momento exacto en que empezó; por ejemplo, la cefalea en trueno, máxima en el primer minuto.",11g
forma_inicio,Insidioso,"Gradual y poco perceptible, sin momento preciso de inicio y de intensidad leve al principio; los apuntes también lo llaman larvado.",11g; 07a
curso,Progresivo,"Los síntomas aumentan en intensidad o extensión con el tiempo; por ejemplo, la disnea que pasa de grandes a medianos esfuerzos.",07a
curso,Estacionario,"Los síntomas se mantienen sin cambios, sin mejorar ni empeorar, desde que se instalaron.",fuera de notas
curso,Intermitente,"Los síntomas aparecen y desaparecen, con intervalos libres entre ellos; por ejemplo, la claudicación intermitente.",08a
curso,Recurrente,Ataques que se repiten tras periodos sin síntomas; precisar cada cuánto se repiten (periodicidad).,02a
curso,En brotes,Periodos de actividad o empeoramiento que alternan con periodos de calma o remisión.,fuera de notas
curso,Progresivo con agudización,"Empeoramiento gradual con episodios de empeoramiento brusco sobreañadidos; por ejemplo, las reagudizaciones de la pancreatitis crónica.",09d
curso,Regresivo,"Los síntomas disminuyen poco a poco hasta ceder, con o sin tratamiento.",fuera de notas
patron_sintoma,en episodio único,"Un solo episodio, sin ataques repetidos; es lo opuesto a los ataques recurrentes.",02a
patron_sintoma,de predominio nocturno,"Predomina de noche; por ejemplo, la tos del asma, de la tuberculosis o de la insuficiencia cardíaca izquierda, y la diarrea orgánica.",07a; 08a2; 09a
patron_sintoma,de predominio matutino,"Predomina en la mañana; por ejemplo, la tos de la bronquitis crónica o la diarrea funcional matinal.",07a; 09a
patron_sintoma,de predominio vespertino,"Predomina en la tarde; por ejemplo, el edema cardiogénico, que empeora por las tardes y mejora con el reposo nocturno.",08a
patron_sintoma,que aparece con el esfuerzo,"Se desencadena con la actividad física; propio de la angina de pecho, la disnea de esfuerzo y las palpitaciones por esfuerzo.",08a
patron_sintoma,que aparece en reposo,Aparece sin esfuerzo previo; propio del infarto de miocardio (reposo nocturno) y de la disnea de reposo.,08a; 07a
patron_sintoma,con horario fijo,Aparece siempre a la misma hora; un patrón horario muy marcado orienta a la cefalea en racimos (de Horton).,11g
patron_sintoma,en relación con la menstruación,Aparece solo con la menstruación; en la cefalea orienta a causa hormonal.,11g
patron_sintoma,de carácter transitorio,"Dura poco y cede por sí solo; por ejemplo, las palpitaciones pasajeras por alcohol, café, cocaína o broncodilatadores.",08a
respuesta_tto,con mejoría parcial,"Los síntomas disminuyen con el tratamiento, pero persisten; precisar cuáles siguen y en qué grado.",02a
respuesta_tto,con mejoría total,Los síntomas desaparecen con el tratamiento recibido.,02a
respuesta_tto,sin mejoría,"Los síntomas siguen igual pese al tratamiento; anotar fármaco, dosis y tiempo de uso.",02a
respuesta_tto,con empeoramiento,Los síntomas aumentan o aparecen síntomas nuevos pese al tratamiento; describir en qué empeoró.,02a
respuesta_tto,no recibió tratamiento,No tomó medicamentos por su cuenta ni recibió tratamiento indicado por un profesional para este cuadro.,02a
f_relato,a1,"Abre el relato con el síntoma guía y el tiempo de enfermedad en tiempo relativo («hace 5 días»), en tercera persona.",02a
f_relato,a2,"Introduce, en orden cronológico, un síntoma que aparece después del síntoma guía.",02a
f_relato,a3,"Registra lo que el paciente tomó por su cuenta: fármaco, dosis, vía y si le sirvió.",02a
f_relato,a4,"Registra la consulta a un médico, centro de salud u hospital, la hospitalización y los exámenes que le hicieron.",02a
f_relato,a5,"Registra el tratamiento indicado por un profesional, con dosis y respuesta.",02a
f_relato,a6,"Cierra con el estado actual: qué síntomas siguen hoy y cómo están, sin resumir con «está mejor» o «está peor».",02a
f_relato,a7,"Antecedente remoto de la enfermedad actual negativo: se escribe siempre, nunca se deja en blanco.",02a
f_relato,a8,Antecedente remoto positivo: fechar el episodio previo e indagar su relación con el cuadro actual.,02a
localizacion,la región frontal,La frente; allí tienden a doler las lesiones supratentoriales.,11g
localizacion,la región temporal,"La sien, a cada lado de la cabeza por encima de la oreja; junto con la frente, sitio típico de la migraña.",11g
localizacion,la región frontotemporal,"Frente y sien a la vez; localización más típica de la migraña, aunque hasta el 40% de los migrañosos tiene dolor bilateral.",11g
localizacion,la región occipital,La nuca y la parte posterior del cráneo; allí tienden a doler las lesiones de la fosa posterior.,11g
localizacion,la región ocular,Alrededor o detrás del ojo; con lagrimeo y ojo rojo en crisis breves repetidas orienta a cefalea en racimos.,11g
localizacion,el hemicráneo derecho,"Mitad derecha de la cabeza; define una cefalea unilateral, como la migraña o la hemicránea continua.",11g
localizacion,el hemicráneo izquierdo,"Mitad izquierda de la cabeza; define una cefalea unilateral, como la migraña o la hemicránea continua.",11g
localizacion,el trayecto del nervio trigémino,"La cara, en el territorio de sus ramas oftálmica, maxilar y mandibular; el dolor en descarga eléctrica orienta a neuralgia.",11d; 11g
localizacion,la mandíbula,Maxilar inferior; irradiación del dolor isquémico miocárdico y una de sus localizaciones atípicas.,08a
localizacion,el pabellón auricular izquierdo,Oreja izquierda; una de las irradiaciones del dolor isquémico miocárdico.,08a
localizacion,la faringe,"La garganta, detrás de la boca; hasta allí asciende el ardor retroesternal de la pirosis por reflujo.",09a
localizacion,el cuello,"Irradiación del dolor anginoso, del dolor pericárdico y del dolor aórtico por disección.",08a
localizacion,la línea media del cuello,"Parte anterior y central del cuello, sobre la tiroides; el dolor tiroideo es medial y empeora al deglutir.",13a
localizacion,la región precordial,"Área del tórax anterior donde se proyecta el corazón, del segundo al quinto espacio intercostal; sitio del dolor isquémico.",08b; 08a
localizacion,la región retroesternal,"Detrás del esternón; sitio del dolor isquémico, pericárdico y aórtico, y del ardor ascendente de la pirosis.",08a; 09a
localizacion,la región mamilar,"Zona del pezón, sobre la línea medioclavicular; allí se localiza el dolor torácico psicógeno (punta del corazón).",08a; 07b
localizacion,las articulaciones condrocostales,Uniones de las costillas con sus cartílagos en la cara anterior del tórax; dolor punzante a la palpación (osteocondritis).,08a
localizacion,el costado derecho,Pared lateral derecha del tórax; sitio del dolor pleurítico «en puntada de costado».,07a
localizacion,el costado izquierdo,Pared lateral izquierda del tórax; sitio del dolor pleurítico «en puntada de costado».,07a
localizacion,la región supraclavicular,Por encima de la clavícula; proyección de los vértices pulmonares.,07b
localizacion,la región infraclavicular,Por debajo de la clavícula; proyección de los lóbulos pulmonares superiores.,07b
localizacion,la región interescapular,"Espalda, entre ambas escápulas; irradiación del dolor aórtico por disección.",07b; 08a
localizacion,la región dorsal,"La espalda, cara posterior del tórax; hacia el dorso se irradian el dolor pancreático «en barra» y el de la colecistitis.",09d
localizacion,el ángulo de la escápula derecha,Punta inferior del omóplato derecho; irradiación del dolor de la colecistitis aguda por el nervio frénico.,09d
localizacion,la región lumbar,"Parte baja de la espalda, a cada lado de la columna, entre la última costilla y la cresta ilíaca; sitio de la lumbalgia y del dolor renal.",ANATOMIA 2026/clases/ABDOMEN/01_PAREDES_DEL_ABDOMEN.md; 10a
localizacion,el ángulo costovertebral,"Ángulo entre la última costilla y la columna, en la espalda; allí empieza el cólico renal y duele el quiste renal complicado.",10a
localizacion,la columna,Eje vertebral en la línea media de la espalda; el cólico ureteral se irradia hacia ella y la espondiloartrosis duele aquí.,09a; 10a
localizacion,la región sacra,"Zona media posterior sobre el sacro, entre ambas nalgas; allí se refiere el dolor de la prostatitis y se busca el edema del encamado.",10a; 08a
localizacion,la región glútea,"La nalga, por debajo de la cresta ilíaca; se continúa hacia arriba con la región lumbar y hacia dentro con la sacrococcígea.",ANATOMIA 2026/clases/MIEMBRO INFERIOR/06_TOPOGRAFIA/01_REGION_GLUTEA_PLANOS_VASOS_Y_NERVIOS_reescrito.md
localizacion,el epigastrio,"Región superior y central del abdomen, bajo el apéndice xifoides; estómago, duodeno, vía biliar y lóbulo izquierdo del hígado.",09b
localizacion,el hipocondrio derecho,"Región superior derecha del abdomen, bajo el reborde costal; hígado, vesícula, ángulo hepático del colon y riñón derecho.",09b
localizacion,el hipocondrio izquierdo,"Región superior izquierda del abdomen, bajo el reborde costal; estómago, bazo, cola del páncreas y riñón izquierdo.",09b
localizacion,el mesogastrio,"Región central del abdomen, entre ambos flancos y alrededor del ombligo; epiplón mayor y colon transverso.",09b
localizacion,la región periumbilical,Alrededor del ombligo; el dolor cólico periumbilical orienta al intestino delgado.,09a; 09f
localizacion,el flanco derecho,"Región lateral media derecha del abdomen, entre el hipocondrio y la fosa ilíaca; colon ascendente.",09b
localizacion,el flanco izquierdo,"Región lateral media izquierda del abdomen, entre el hipocondrio y la fosa ilíaca; colon descendente.",09b
localizacion,la fosa ilíaca derecha,"Región inferior derecha del abdomen, bajo la línea de las espinas ilíacas; ciego y apéndice, por eso orienta a apendicitis.",09b
localizacion,la fosa ilíaca izquierda,"Región inferior izquierda del abdomen, bajo la línea de las espinas ilíacas; colon sigmoides.",09b
localizacion,el hipogastrio,"Región inferior y central del abdomen, sobre el pubis; vejiga y, en la mujer, los anexos.",09b; 09f
localizacion,la región suprapúbica,"Justo por encima del pubis; sitio del dolor vesical, que el paciente describe como deseo de orinar.",10a
localizacion,la región infraumbilical,Abdomen por debajo del ombligo; el dolor cólico infraumbilical acompaña a la diarrea de origen colónico.,09a
localizacion,la región inguinal,"La ingle, pliegue entre el abdomen y el muslo; hasta allí se irradia el cólico renal.",10a
localizacion,el testículo,"Irradiación final del cólico renal en el varón, cuando el cálculo desciende por el uréter.",10a; 09a
localizacion,los labios mayores,"Irradiación final del cólico renal en la mujer, cuando el cálculo desciende por el uréter.",10a; 09a
localizacion,la uretra y el meato,Conducto urinario y su orificio externo; hacia allí se irradia el dolor vesical cuando se irrita el trígono.,10a
localizacion,el recto,Porción final del intestino; allí se refiere el dolor perineal de la prostatitis aguda.,10a
localizacion,el periné,"Partes blandas que cierran la pelvis por abajo, entre pubis, isquiones y cóccix; sitio del dolor de la prostatitis aguda.",ANATOMIA 2026/clases/PELVIS/02_GENITALES_MASCULINOS/03_Perineo_en_el_Hombre_Musculos_aponeurosis_y_topografia.md; 10a
localizacion,el hombro derecho,Irradiación del dolor de la colecistitis aguda por el nervio frénico.,09d
localizacion,el hombro izquierdo,Irradiación del dolor isquémico miocárdico.,08a
localizacion,el brazo y antebrazo izquierdos,Irradiación típica del dolor isquémico miocárdico; su extensión es proporcional a la intensidad del dolor.,08a
localizacion,el miembro inferior derecho,"Desde la cadera hasta el pie; el edema de un solo miembro sugiere enfermedad venosa, en 80 a 90% trombosis venosa profunda.",08a; 05g
localizacion,el miembro inferior izquierdo,"Desde la cadera hasta el pie; el edema de un solo miembro sugiere enfermedad venosa, en 80 a 90% trombosis venosa profunda.",08a; 05g
localizacion,ambos miembros inferiores,Compromiso bilateral; el edema simétrico que asciende desde los maléolos es propio del edema cardiogénico.,08a
localizacion,la pantorrilla,Cara posterior de la pierna; sitio del dolor tipo calambre de la claudicación intermitente y de la trombosis venosa profunda.,08a; 05g
agravante,la tos,"Orienta a dolor pleurítico, que se exacerba con la respiración, la tos y los cambios de postura.",07a
agravante,la respiración,Orienta a dolor pleurítico o a dolor pericárdico.,07a; 08a
agravante,la inspiración profunda,Orienta a irritación pleural; en la colecistitis aguda el dolor interrumpe la inspiración profunda (signo de Murphy).,07a; 09b
agravante,los cambios de postura,"Orienta a dolor pleurítico; en el vértigo, su aparición con los cambios de posición orienta a causa periférica.",07a; 11g
agravante,la flexión del tronco,Suele aumentar el dolor lumbar de origen mecánico o muscular.,fuera de notas
agravante,la bipedestación,El dolor lumbar de origen renal empeora de pie y al final del día; el síncope al ponerse de pie orienta a causa ortostática.,10a; 08a
agravante,la posición erecta,Sinónimo de bipedestación; el dolor lumbar de origen renal empeora con la posición erecta.,10a
agravante,la deglución,"Orienta a dolor pericárdico, a dolor tiroideo (medial en el cuello) o a odinofagia.",08a; 13a; 09a
agravante,el decúbito dorsal,"Orienta a dolor pericárdico; en la disnea, el decúbito dorsal aumenta la congestión pulmonar y precede a la ortopnea.",08a
agravante,el decúbito,"Agrava la ortopnea, la pirosis nocturna por reflujo y la tos de la insuficiencia cardíaca izquierda.",07a; 09a; 08a2
agravante,el decúbito lateral,"La disnea que aparece en un decúbito lateral y mejora en el otro es trepopnea, típica del derrame pleural.",07a
agravante,el esfuerzo físico,"Orienta a angina de pecho, disnea de esfuerzo y palpitaciones por esfuerzo; también exacerba el dolor hepático.",08a; 09d
agravante,la marcha,El dolor en la pantorrilla que aparece al caminar y obliga a detenerse es la claudicación intermitente.,08a
agravante,el movimiento,El dolor que aumenta con el movimiento y obliga a quedarse inmóvil orienta a inflamación perirrenal o peritoneal.,10a; 09f
agravante,la palpación,Orienta a dolor de la pared torácica (condrocostal) o a dolor por distensión de la cápsula hepática.,08a; 09d
agravante,el estrés,Desencadenante de la angina de pecho.,08a
agravante,las emociones,"Desencadenan angina, palpitaciones y dolor torácico psicógeno; también son desencadenante de cefalea.",08a; 11g
agravante,el frío,Desencadenante de la angina de pecho y del fenómeno de Raynaud.,08a
agravante,las comidas copiosas,Desencadenante de la angina de pecho.,08a
agravante,la ingesta de alimentos grasos,"Orienta a vía biliar: la grasa contrae la vesícula y, si hay cálculos, provoca dolor, náuseas y vómitos.",09d
agravante,la ingesta de alimentos,"Molestia que aparece al comer; orienta a dispepsia o, si se acompaña de saciedad precoz, a obstrucción pilórica.",09a
agravante,las transgresiones alimentarias,Excesos o desarreglos en la comida; desencadenan la acidez epigástrica.,09a
