parametro,examen,sinonimos,unidad,sexo,grupo,min,max,bajo,nivel_bajo,alto,nivel_alto,alto2_desde,alto2,nivel_alto2,bajo2_hasta,bajo2,nivel_bajo2,fuente
Filtración glomerular estimada,renal,tfg|tfge|egfr|vfg|filtrado glomerular|filtracion glomerular estimada|tasa de filtracion glomerular|velocidad de filtracion glomerular,ml/min,,,100,,Filtración glomerular disminuida,1,,,,,,60,Compatible con insuficiencia renal crónica,2,10c; FISIOPATOLOGIA 2026/concepts/Tasa-de-Filtracion-Glomerular.md
Bilirrubina total,hepatico,bt|btotal|bilirrubina total|bil total|bili total,mg/dl,,,,1.2,,,Hiperbilirrubinemia,1,2.5,Hiperbilirrubinemia con ictericia visible,2,,,,09a
Bilirrubina directa,hepatico,bd|bilirrubina directa|bilirrubina conjugada|bil directa,mg/dl,,,,0.3,,,Hiperbilirrubinemia directa,1,,,,,,,FISIOPATOLOGIA 2026/concepts/Bilirrubina.md
Bilirrubina indirecta,hepatico,bi|bilirrubina indirecta|bilirrubina no conjugada|bil indirecta,mg/dl,,,,0.9,,,Hiperbilirrubinemia indirecta,1,,,,,,,FISIOPATOLOGIA 2026/concepts/Bilirrubina.md
Transaminasa glutámico oxalacética,hepatico,tgo|ast|got|asat|sgot|aspartato aminotransferasa|transaminasa glutamico oxalacetica,U/L,,,,40,,,Hipertransaminasemia,1,,,,,,,FISIOPATOLOGIA 2026/concepts/TGO.md
Transaminasa glutámico pirúvica,hepatico,tgp|alt|gpt|alat|sgpt|alanina aminotransferasa|transaminasa glutamico piruvica,U/L,,,,40,,,Hipertransaminasemia,1,400,Hipertransaminasemia marcada,2,,,,FISIOPATOLOGIA 2026/concepts/TGP.md
Fosfatasa alcalina,hepatico,fa|fal|falc|alp|fosfatasa alcalina,U/L,,,30,120,Fosfatasa alcalina disminuida,1,Elevación de fosfatasa alcalina,1,240,Elevación moderada a marcada de fosfatasa alcalina,2,,,,FISIOPATOLOGIA 2026/concepts/Fosfatasa-Alcalina.md
Albúmina,hepatico,albumina|alb|albumina serica,g/dl,,,3.5,5,Hipoalbuminemia,1,Hiperalbuminemia,1,,,,2.5,Hipoalbuminemia con riesgo de edema,2,FISIOLOGIA 2026/conceptos/Albumina.md; FISIOLOGIA 2026/clases/05_UNIDAD_V_LIQUIDOS_CORPORALES_Y_RINON/01_Capitulo_25.md
Amilasa,hepatico,amilasa|amy|amilasa serica|amilasemia,U/dl,,,,120,,,Hiperamilasemia,1,360,Compatible con pancreatitis aguda,2,,,,FISIOPATOLOGIA 2026/concepts/Amilasa.md; 09d
Razón normalizada internacional,hepatico,inr|rni|razon normalizada internacional|indice internacional normalizado,sin unidad,,,0.9,1.3,Tendencia a la trombosis,1,Coagulación prolongada,1,4.5,Alto riesgo de hemorragia,3,,,,FISIOLOGIA 2026/clases/02_UNIDAD_II_CIRCULATORIO_RESPIRATORIO/01_Capitulo_38.md; FISIOPATOLOGIA 2026/entities/farmacos/Warfarina.md
Triglicéridos,lipidos,tg|trig|trigliceridos|trigliceridos sericos,mg/dl,,,,149,,,Hipertrigliceridemia,1,700,Hipertrigliceridemia con riesgo de pancreatitis,3,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Síndrome-metabólico.md; FARMACOLOGIA 2026/clases/35a_Fisiopatologia_dislipidemias_y_estatinas.md
Colesterol de lipoproteínas de alta densidad,lipidos,hdl|hdl-c|c-hdl|colesterol hdl|hdl colesterol|colesterol de alta densidad,mg/dl,M,,40,,Colesterol de alta densidad bajo,1,,,,,,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Síndrome-metabólico.md
Colesterol de lipoproteínas de alta densidad,lipidos,hdl|hdl-c|c-hdl|colesterol hdl|hdl colesterol|colesterol de alta densidad,mg/dl,F,,50,,Colesterol de alta densidad bajo,1,,,,,,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Síndrome-metabólico.md
Colesterol de lipoproteínas de baja densidad,lipidos,ldl|ldl-c|c-ldl|colesterol ldl|ldl colesterol|colesterol de baja densidad,mg/dl,,,,129,,,Colesterol de baja densidad elevado,1,,,,,,,BIOQUIMICA 2026/concepts/Colesterol-LDL.md
Hormona estimulante de la tiroides,tiroides,tsh|tshus|tsh ultrasensible|tirotropina|hormona tiroestimulante|hormona estimulante de la tiroides,microUI/ml,,,0.45,4.12,Tirotropina suprimida,1,Tirotropina elevada,1,10,Tirotropina muy elevada,2,0.1,Tirotropina muy suprimida,2,FARMACOLOGIA 2026/clases/38a_Fisiologia_tiroidea_farmacos_tiroideos_antitiroideos.md; FARMACOLOGIA 2026/clases/38b_Manejo_clinico_hipotiroidismo_hipertiroidismo.md
Tiroxina libre,tiroides,t4 libre|t4l|ft4|tiroxina libre,ng/dl,,,0.8,1.4,Hipotiroxinemia,1,Hipertiroxinemia,1,,,,,,,FARMACOLOGIA 2026/clases/38a_Fisiologia_tiroidea_farmacos_tiroideos_antitiroideos.md
Tiroxina total,tiroides,t4|t4 total|tiroxina|tiroxina total,microgramos/dl,,,4.8,10.4,Hipotiroxinemia,1,Hipertiroxinemia,1,,,,,,,FARMACOLOGIA 2026/clases/38a_Fisiologia_tiroidea_farmacos_tiroideos_antitiroideos.md
Triyodotironina total,tiroides,t3|t3 total|triyodotironina|triyodotironina total,ng/dl,,,59,156,Triyodotironina disminuida,1,Triyodotironina elevada,1,,,,,,,FARMACOLOGIA 2026/clases/38a_Fisiologia_tiroidea_farmacos_tiroideos_antitiroideos.md
Sodio,electrolitos,na|na+|sodio|sodio serico|natremia,mEq/L,,,135,145,Hiponatremia,1,Hipernatremia,1,170,Hipernatremia grave,3,125,Hiponatremia grave,3,05b; FISIOPATOLOGIA 2026/clases/Clase_06_METABOLISMO_DEL_SODIO.md
Potasio,electrolitos,k|k+|potasio|potasio serico|kalemia|potasemia,mEq/L,,,3.5,5,Hipopotasemia,1,Hiperpotasemia,1,6.5,Hiperpotasemia grave,3,2.5,Hipopotasemia grave,3,FISIOPATOLOGIA 2026/clases/Clase_07_METABOLISMO_DEL_POTASIO.md; FISIOPATOLOGIA 2026/esquemas/Esquema_07_Potasio.md; FISIOPATOLOGIA 2026/esquemas/Esquema_00_MAESTRO_Hidroelectrolitico.md
Cloro,electrolitos,cl|cl-|cloro|cloruro|cloro serico|cloremia,mmol/L,,,98,108,Hipocloremia,1,Hipercloremia,1,,,,,,,FISIOLOGIA 2026/clases/03_UNIDAD_III_BASES_CELULARES_MEMBRANA_Y_MUSCULO/01_Capitulo_1.md
Calcio,electrolitos,ca|ca++|ca total|calcio|calcio serico|calcio total|calcemia,mg/dl,,,9,11,Hipocalcemia,1,Hipercalcemia,1,12,Hipercalcemia grave,3,7,Hipocalcemia de mal pronóstico,3,05b; 09d; FISIOLOGIA 2026/clases/10_UNIDAD_X_ENDOCRINOLOGIA_Y_REPRODUCCION/06_Capitulo_80.md
Magnesio,electrolitos,magnesio|mg++|mg serico|magnesio serico|magnesemia,mg/dl,,,1.7,2.4,Hipomagnesemia,1,Hipermagnesemia,1,,,,,,,FISIOLOGIA 2026/conceptos/Magnesio.md
Fósforo,electrolitos,fosforo|fosfato|fosforo serico|fosforo inorganico|fosfatemia,mg/dl,,,2.5,4.5,Hipofosfatemia,1,Hiperfosfatemia,1,,,,,,,FISIOLOGIA 2026/conceptos/Fosforo.md; FISIOPATOLOGIA 2026/entities/enfermedades/Hiperfosfatemia.md
Osmolaridad plasmática,electrolitos,osm|osmolaridad|osmolalidad|osmolaridad plasmatica|osmolaridad serica|osmolaridad calculada,mOsm/L,,,280,310,Hipoosmolaridad,2,Hiperosmolaridad,2,,,,,,,FISIOPATOLOGIA 2026/esquemas/Esquema_05_Deshidratacion.md
pH arterial,gasometria,ph arterial|ph sanguineo|ph en sangre|ph gasometria,sin unidad,,,7.35,7.45,Acidemia,2,Alcalemia,2,,,,7.2,Acidemia grave,3,FISIOLOGIA 2026/concepts/Gases-Arteriales.md; FISIOLOGIA 2026/conceptos/Acidosis.md
Presión arterial de dióxido de carbono,gasometria,pco2|paco2|pco2 arterial|presion de co2|presion arterial de co2|presion parcial de dioxido de carbono,mmHg,,,35,45,Hipocapnia,1,Hipercapnia,2,,,,,,,FISIOLOGIA 2026/concepts/Gases-Arteriales.md
Bicarbonato,gasometria,hco3|hco3-|bicarbonato|bicarbonato actual|bicarbonato estandar,mEq/L,,,22,26,Bicarbonato disminuido,1,Bicarbonato aumentado,1,,,,,,,FISIOLOGIA 2026/concepts/Gases-Arteriales.md
Presión arterial de oxígeno,gasometria,po2|pao2|po2 arterial|presion de o2|presion arterial de oxigeno|presion parcial de oxigeno,mmHg,,,80,100,Presión de oxígeno disminuida,1,Hiperoxemia,1,,,,60,Hipoxemia,3,FISIOLOGIA 2026/concepts/Gasometria-Arterial.md; FISIOPATOLOGIA 2026/entities/signos/Hipoxemia.md
Saturación de oxígeno,gasometria,sato2|sao2|so2|spo2|sat o2|saturacion|saturacion de oxigeno,%,,,95,,Saturación disminuida,1,,,,,,90,Hipoxemia,3,FISIOPATOLOGIA 2026/Saturacion-Oxigeno.md
Exceso de base,gasometria,be|eb|exceso de base|base excess|beecf,mEq/L,,,-2,2,Déficit de base,1,Exceso de base aumentado,1,,,,-12,Déficit de base grave,3,FISIOLOGIA 2026/concepts/Gasometria-Arterial.md; FISIOPATOLOGIA 2026/entities/enfermedades/Hemodialisis.md
Lactato,gasometria,lactato|lac|acido lactico|lactato serico,mmol/L,,,,2,,,Hiperlactatemia,2,4,Hiperlactatemia grave,3,,,,BIOQUIMICA 2026/entities/enfermedades/Acidosis-Lactica.md
Volumen urinario de 24 horas,orina,volumen urinario|volumen de orina|volumen urinario de 24 horas|volumen de orina de 24 horas|diuresis de 24 horas,ml en 24 horas,,,800,1800,Volumen urinario disminuido,1,Volumen urinario aumentado,1,2000,Poliuria,2,400,Oliguria,3,10b; 10a
Densidad urinaria,orina,densidad|densidad urinaria|densidad relativa|gravedad especifica|peso especifico,sin unidad,,,1.015,1.025,Orina diluida,1,Orina concentrada,1,,,,,,,10b
pH urinario,orina,ph urinario|ph orina|ph en orina|ph de la orina,sin unidad,,,4.5,7,Orina muy ácida,1,Orina alcalina,1,,,,,,,10b
Leucocitos en orina,orina,leucocitos en orina|leucocitos por campo|leucocitos/campo|leucocitos urinarios|leucocitos sedimento|piocitos|leucocituria,por campo,,,,3,,,Leucocituria,1,10,Sugiere infección urinaria,2,,,,10b; FISIOPATOLOGIA 2026/esquemas/Esquema_29_ITU.md
Hematíes en orina,orina,hematies en orina|hematies por campo|hematies/campo|hematies sedimento|eritrocitos en orina|globulos rojos en orina|hematuria,por campo,,,,2,,,Hematuria microscópica,1,,,,,,,10b
Proteínas en orina de 24 horas,orina,proteinuria|proteinuria de 24 horas|proteinuria 24h|proteinas en orina de 24 horas|proteinas en orina 24 horas,mg en 24 horas,,,,150,,,Proteinuria,1,3500,Proteinuria en rango nefrótico,2,,,,10b; 10c
Albúmina en orina de 24 horas,orina,microalbuminuria|albuminuria|albumina en orina|albumina en orina de 24 horas,mg en 24 horas,,,,29,,,Microalbuminuria,1,300,Macroalbuminuria,2,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Nefropatia-Diabetica.md; 10b
Relación albúmina y creatinina en orina,orina,rac|uacr|relacion albumina/creatinina|albumina/creatinina|indice albumina/creatinina|cociente albumina/creatinina,mg/g,,,,29,,,Microalbuminuria,1,300,Macroalbuminuria,2,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Nefropatia-Diabetica.md
Presión del líquido cefalorraquídeo,lcr,presion lcr|presion de apertura|presion de liquido cefalorraquideo|presion inicial lcr,mm de agua,,,,180,,,Hipertensión del líquido cefalorraquídeo,2,,,,,,,11j
Células en el líquido cefalorraquídeo,lcr,celulas lcr|celulas en lcr|recuento celular lcr|celularidad lcr|leucocitos lcr|leucocitos en lcr|celulas liquido cefalorraquideo,por microlitro,,,,5,,,Pleocitosis,2,,,,,,,11j
Eritrocitos en el líquido cefalorraquídeo,lcr,eritrocitos lcr|eritrocitos en lcr|hematies lcr|hematies en lcr,por microlitro,,,,0,,,Presencia de eritrocitos,2,,,,,,,11j
Glucosa en el líquido cefalorraquídeo,lcr,glucosa lcr|glucosa en lcr|glucorraquia|glucosa liquido cefalorraquideo,mg/dl,,,50,80,Hipoglucorraquia,2,Glucorraquia elevada,1,,,,,,,BIOQUIMICA 2026/entities/estructuras/Glucosa.md
Relación entre glucosa del líquido cefalorraquídeo y glucemia,lcr,relacion glucosa lcr/glucemia|glucosa lcr/glucemia|glucosa lcr/plasma|indice glucosa lcr/suero|cociente glucosa lcr/sangre,% de la glucemia,,,50,60,Hipoglucorraquia,2,Glucorraquia relativamente elevada,1,,,,,,,11j
Proteínas en el líquido cefalorraquídeo,lcr,proteinas lcr|proteinas en lcr|proteinas totales lcr|proteinorraquia|proteinas liquido cefalorraquideo,mg/dl,,,20,40,Hipoproteinorraquia,1,Hiperproteinorraquia,2,,,,,,,11j
Gammaglobulina en el líquido cefalorraquídeo,lcr,gammaglobulina lcr|gammaglobulina en lcr|gammaglobulinas lcr,% de las proteínas,,,,10,,,Gammaglobulina elevada,1,,,,,,,11j
Creatina fosfocinasa,enzimas,ck|cpk|ck total|cpk total|creatina quinasa|creatina fosfocinasa|creatinfosfoquinasa|creatina cinasa,U/L,M,,20,200,Creatina fosfocinasa disminuida,1,Elevación de creatina fosfocinasa,1,,,,,,,BIOQUIMICA 2026/concepts/Creatina-Quinasa-(CK).md
Creatina fosfocinasa,enzimas,ck|cpk|ck total|cpk total|creatina quinasa|creatina fosfocinasa|creatinfosfoquinasa|creatina cinasa,U/L,F,,20,170,Creatina fosfocinasa disminuida,1,Elevación de creatina fosfocinasa,1,,,,,,,BIOQUIMICA 2026/concepts/Creatina-Quinasa-(CK).md
Porcentaje de fracción MB de creatina fosfocinasa,enzimas,indice ck-mb|ck-mb %|ckmb %|porcentaje ck-mb|relacion ck-mb/ck total|indice relativo ck-mb,% de la creatina fosfocinasa total,,,,5,,,Posible daño miocárdico,2,10,Sugiere daño miocárdico,3,,,,BIOQUIMICA 2026/concepts/Creatina-Quinasa-(CK).md
Troponina,enzimas,troponina|troponina i|troponina t|tni|tnt|ctni|ctnt|troponina ultrasensible|troponina i ultrasensible|troponina t ultrasensible|hs-tn,según el laboratorio,,,,,,,Elevación de troponina,3,,,,,,,FISIOPATOLOGIA 2026/entities/enfermedades/Infarto-Subendocardico.md; 08i
Fracción de eyección,ecocardiograma,fe|fevi|fey|fraccion de eyeccion|fraccion de eyeccion del ventriculo izquierdo,%,,,50,70,Fracción de eyección disminuida,1,Fracción de eyección elevada,1,,,,40,Fracción de eyección reducida,2,FISIOLOGIA 2026/clases/04_UNIDAD_IV_CORAZON_CIRCULACION_Y_FLUJO_CEREBRAL/04_Capitulo_22.md
Relación entre volumen espiratorio forzado en el primer segundo y capacidad vital forzada,espirometria,vef1/cvf|fev1/fvc|vef1/cvf %|relacion vef1/cvf|indice de tiffeneau,%,,,70,,Patrón obstructivo,2,,,,,,,,,FISIOLOGIA 2026/clases/07_UNIDAD_VII_RESPIRACION_COMPLEMENTO/01_Capitulo_43.md; FISIOPATOLOGIA 2026/entities/enfermedades/EPOC.md
Índice cardiotorácico,rx_torax,ict|indice cardiotoracico|relacion cardiotoracica,sin unidad,,,,0.5,,,Cardiomegalia,1,,,,,,,08f
Frecuencia cardíaca en el electrocardiograma,ecg,fc|frecuencia cardiaca|frecuencia ventricular,latidos por minuto,,,60,100,Bradicardia,1,Taquicardia,1,,,,,,,08j
Duración de la onda P,ecg,onda p|duracion onda p|duracion de la onda p,segundos,,,0.07,0.11,Onda P de duración corta,1,Onda P ensanchada,1,,,,,,,08j
Intervalo PR,ecg,pr|intervalo pr,segundos,,,0.12,0.2,Intervalo PR corto,1,Intervalo PR prolongado,1,,,,,,,08j
Complejo QRS,ecg,qrs|complejo qrs|duracion qrs|duracion del qrs,segundos,,,,0.11,,,Complejo QRS ensanchado,1,,,,,,,08j
Intervalo QT,ecg,qt|intervalo qt,segundos,,,0.34,0.44,Intervalo QT corto,1,Intervalo QT prolongado,1,,,,,,,08j
Eje eléctrico del complejo QRS,ecg,eje|eje electrico|eje qrs|eje del qrs|aqrs,grados,,,0,90,Desviación del eje a la izquierda,1,Desviación del eje a la derecha,1,,,,,,,08j
Abastonados,hemograma,abastonados|bastones|bandas|neutrofilos en banda|cayados|baciliformes|no segmentados,% de los leucocitos,,,0,5,,,Desviación a la izquierda,2,,,,,,,07e; 07f; 09d
Linfocitos,hemograma,linfocitos|linf|linfo|lin %|linfocitos %,% de los leucocitos,,,20,40,Linfopenia,1,Linfocitosis,1,,,,,,,fuera de notas; 05e
Monocitos,hemograma,monocitos|mono|mon %|monocitos %,% de los leucocitos,,,2,8,Monocitopenia,1,Monocitosis,1,,,,,,,fuera de notas; 05e
Eosinófilos,hemograma,eosinofilos|eos|eo %|eosinofilos %,% de los leucocitos,,,1,4,,,Eosinofilia,1,,,,,,,fuera de notas
Basófilos,hemograma,basofilos|bas|baso|ba %|basofilos %,% de los leucocitos,,,0,1,,,Basofilia,1,,,,,,,fuera de notas
Tiempo de coagulación,coagulacion,tiempo de coagulacion|tc|tpo de coagulacion,minutos,,,5,10,,,Tiempo de coagulación prolongado,2,,,,,,,fuera de notas; 09c
Tiempo de sangría,coagulacion,tiempo de sangria|ts|tpo de sangria|tiempo de sangrado,minutos,,,1,3,,,Tiempo de sangría prolongado,2,,,,,,,fuera de notas; 09c
Tiempo de protrombina,coagulacion,tiempo de protrombina|tp|tpo de protrombina|protrombina,segundos,,,11,14,,,Tiempo de protrombina prolongado,2,,,,,,,09a; 09c
Tiempo de tromboplastina parcial activada,coagulacion,tiempo de tromboplastina|ttp|ttpa|aptt|tiempo de tromboplastina parcial|tiempo de tromboplastina parcial activada,segundos,,,25,35,,,Tiempo de tromboplastina prolongado,2,,,,,,,fuera de notas
Dímero D,coagulacion,dimero d|dimero-d|dd|d dimero,ng/ml,,,,500,,,Dímero D elevado,2,,,,,,,fuera de notas; 08i
Ácido úrico,bioquimico,acido urico|au|uricemia|urato|uratos,mg/dl,M,,3.5,7.2,Ácido úrico disminuido,1,Hiperuricemia,1,,,,,,,fuera de notas; 08g; 10b
Ácido úrico,bioquimico,acido urico|au|uricemia|urato|uratos,mg/dl,F,,2.6,6.0,Ácido úrico disminuido,1,Hiperuricemia,1,,,,,,,fuera de notas; 08g; 10b
Células epiteliales en orina,orina,celulas epiteliales|celulas epiteliales en orina|cel epiteliales|epiteliales,por campo,,,,5,,,"Células epiteliales aumentadas, posible contaminación de la muestra",1,,,,,,,fuera de notas; 10b
Gérmenes en orina,orina,germenes|germenes en orina|bacterias|bacterias en orina|flora bacteriana,por campo,,,,,,,Bacteriuria,2,,,,,,,10b; FISIOPATOLOGIA 2026/esquemas/Esquema_29_ITU.md
Reacción de Vidal,serologia,reaccion de vidal|vidal|aglutinaciones febriles|serologia para fiebre tifoidea,título,,,,,,,"Reacción de Vidal reactiva, compatible con fiebre tifoidea",2,,,,,,,01
Proteína C reactiva,inflamacion,pcr|proteina c reactiva|pcr cuantitativa|reactante de fase aguda,mg/L,,,,5,,,Proteína C reactiva elevada,1,50,Elevación marcada de la proteína C reactiva,2,,,,09f
